3590768,JavaScript语言精粹,,Douglas Crockford,赵泽欣、鄢学鹍,电子工业出版社,2009年,35.00,9.1
1232061,JAVASCRIPT权威指南(第四版),,David Flanagan,张铭泽、等,机械工业出版社,2003-1-1,99.00,8.7
25863515,图解HTTP,,【日】上野宣,于均良,人民邮电出版社,2014-4-15,49.00元,8.1
26351021,你不知道的JavaScript（上卷）,,[美] Kyle Simpson,赵望野、梁杰,人民邮电出版社,2015-4,49.00元,9.4
21338365,HTML & CSS设计与构建网站,,[美] Jon Duckett,刘涛、陈学敏,清华大学出版社,2013-1,59.80元,8.9
3567853,Getting Real,The Smarter, Faster, Easier Way to Build a Successful Web Application,Jason Fried、Heinemeier David Hansson、Matthew Linderman,,37signals,2009-11-18,USD 24.99,9.0
26274202,Flask Web开发：基于Python的Web应用开发实战,,[美] Miguel Grinberg,安道,人民邮电出版社,2014-12,59.00元,8.7
1921890,JavaScript DOM编程艺术,,Jeremy Keith,杨涛、王建桥、杨晓云,人民邮电出版社,2006年12月,39.00元,8.7
3924175,构建高性能Web站点,改善性能和扩展规模的具体做法,郭欣,,电子工业出版社,2009-8,59.00元,8.6
25856314,Web性能权威指南,,Ilya Grigorik,李松峰,人民邮电出版社,2013-9,69,8.8
3549421,PHP和MySQL Web开发(原书第4版),PHP and MySQL Web Development, Fourth Edition,Luke Welling、Laura Thomson,武欣,机械工业出版社,2009,95.00元,8.4
5362856,高性能JavaScript,,Nicholas C.Zakas,丁琛、赵泽欣,电子工业出版社,2010-11,49.00元,8.9
25795270,形式感+：网页视觉设计创意拓展与快速表现,网页视觉设计创意拓展与快速表现,晋小彦,,清华大学出版社,2014-1-1,59.00元,8.2
20451827,Web前端黑客技术揭秘,,钟晨鸣、徐少培,,电子工业出版社,2013-1,59.00元,7.7
26852057,Python Web开发实战,,董伟明,,电子工业出版社,2016-9-15,105,7.5
21792530,编写可维护的JavaScript,,扎卡斯,李晶、郭凯、张散集,人民邮电出版社,2013-4,55.00元,8.3
4076216,锦绣蓝图,怎样规划令人流连忘返的网站(第2版),[美] 沃德科 (Christina Wodtke)、[美] 戈夫拉 (Austin Govella),蔡芳,人民邮电出版社,2009-11-01,59.00,8.0
26598045,Web全栈工程师的自我修养,,余果,,人民邮电出版社,2015-9-1,49.00,7.5
3176860,Secrets of the JavaScript Ninja,,John Resig、Bear Bibeault,,Manning Publications,2012-11-28,USD 39.99,9.3
25733421,Web之困：现代Web应用安全指南,,(美)Michal Zalewski,朱筱丹,机械工业出版社,2013-10,69,8.7
23123255,CSS设计指南,,史密斯,李松峰,人民邮电出版社,2013-5,59.00元,8.8
10426640,深入剖析Tomcat,,Budi Kurniawan、Paul Deck,曹旭东,机械工业出版社华章公司,2011-12-31,59.00元,8.3
2345964,超越CSS,Web设计艺术精髓,Andy Clarke,谭振林,人民邮电出版社,2007,69.00元,8.5
25786074,HTML5权威指南,HTML5权威指南,[美] Adam Freeman,谢廷晟、牛化成、刘美英,人民邮电出版社,2014-1,129.00元,8.6
19933548,JavaScript编程精解,,Marijn Haverbeke,徐涛,机械工业出版社华章公司,2012-10-1,49.00元,7.9
